4.424912835060929694e+00 2.699718298682286672e+02 1.265712167835766593e+02
3.256047936935491993e+00 9.580270724690446116e+01 5.364852874842583219e+01
3.986622848379847373e+00 1.176622029236909981e+02 7.249480004100631447e+01
1.165218616310091493e+00 7.032436959277156063e+01 3.166419411621041391e+01
9.619247040263267934e+00 1.999152598206055700e+02 1.879424484333723342e+02
6.791692576975481899e+00 1.552689437541897348e+02 1.296686705199516609e+02
1.824821405586728673e+00 1.159350218283495195e+02 3.987943014576489986e+01
4.370212134787684555e+00 1.715989830886226173e+02 9.298921008552918011e+01
1.587539872972847377e+00 7.161087479291522584e+01 3.759197451653975008e+01
2.559518418825096564e+00 5.661280259812200200e+01 4.446840197340438294e+01
5.210881084412456232e+00 1.019885732007252273e+02 8.315780601829999341e+01
4.151083605954624112e+00 1.628363244729517021e+02 9.330859290284604413e+01
