1.359678873717390246e+01 1.934037061400635480e+02 1.644314074716761809e+02
7.433601502290194674e+00 1.026524351518176559e+02 1.311243280305354233e+02
6.417397912153966821e+00 1.040948044742103207e+02 1.533801024885521258e+02
1.220806431875515230e+01 1.607358853226101303e+02 1.442248779965733263e+02
1.183376105940398659e+01 1.719513656446769971e+02 1.982849656471222772e+02
8.111085663244230304e+00 1.532634176478664187e+02 2.003892394521588471e+02
7.258686928661176374e+00 1.038124044629282849e+02 1.375320492593980077e+02
2.838017822187644867e+00 5.288077662196773332e+01 2.026822353597138999e+02
4.377983648415143314e+00 7.903545598588266330e+01 1.495371899616036160e+02
6.007854376796567308e+00 9.923650025511817319e+01 1.442162895952630777e+02
1.143705652047040289e+01 1.587060751300074912e+02 2.092671897372753449e+02
1.127557411961301170e+01 1.512063907656605863e+02 2.349223014374879028e+02
